record_type,source_file,distribution,num_simulations,network_optimistic,network_pessimistic,network_most_likely,pert_critical,pert_sd,bb2_critical_mean,bb2_critical_sd,bb2_critical_p99,bb2_critical_p10,bb2_critical_p25,lognormal_critical_mean,lognormal_critical_sd,lognormal_critical_p99,lognormal_critical_p10,lognormal_critical_p25,sim_mean,sim_std,sim_min,sim_p10,sim_p25,sim_max,sim_p50,sim_p90,sim_p95,sim_p99,pert_p1,pert_p10,pert_p20,pert_p25,pert_p30,pert_p40,pert_p50,pert_p60,pert_p70,pert_p75,pert_p80,pert_p90,pert_p95,pert_p99,pert_p99_9,bb2_p1,bb2_p10,bb2_p20,bb2_p25,bb2_p30,bb2_p40,bb2_p50,bb2_p60,bb2_p70,bb2_p75,bb2_p80,bb2_p90,bb2_p95,bb2_p99,bb2_p99_9,lognormal_p1,lognormal_p10,lognormal_p20,lognormal_p25,lognormal_p30,lognormal_p40,lognormal_p50,lognormal_p60,lognormal_p70,lognormal_p75,lognormal_p80,lognormal_p90,lognormal_p95,lognormal_p99,lognormal_p99_9,sim_p1,sim_p20,sim_p30,sim_p40,sim_p60,sim_p70,sim_p75,sim_p80,sim_p99_9,SP,TF,AD,LA,number_of_nodes,is_beta,is_lognormal,simulation_runtime_seconds,error_signed_pert_p1,error_absolute_pert_p1,error_signed_pert_p10,error_absolute_pert_p10,error_signed_pert_p20,error_absolute_pert_p20,error_signed_pert_p25,error_absolute_pert_p25,error_signed_pert_p30,error_absolute_pert_p30,error_signed_pert_p40,error_absolute_pert_p40,error_signed_pert_p50,error_absolute_pert_p50,error_signed_pert_p60,error_absolute_pert_p60,error_signed_pert_p70,error_absolute_pert_p70,error_signed_pert_p75,error_absolute_pert_p75,error_signed_pert_p80,error_absolute_pert_p80,error_signed_pert_p90,error_absolute_pert_p90,error_signed_pert_p95,error_absolute_pert_p95,error_signed_pert_p99,error_absolute_pert_p99,error_signed_pert_p99_9,error_absolute_pert_p99_9,error_signed_bb2_p1,error_absolute_bb2_p1,error_signed_bb2_p10,error_absolute_bb2_p10,error_signed_bb2_p20,error_absolute_bb2_p20,error_signed_bb2_p25,error_absolute_bb2_p25,error_signed_bb2_p30,error_absolute_bb2_p30,error_signed_bb2_p40,error_absolute_bb2_p40,error_signed_bb2_p50,error_absolute_bb2_p50,error_signed_bb2_p60,error_absolute_bb2_p60,error_signed_bb2_p70,error_absolute_bb2_p70,error_signed_bb2_p75,error_absolute_bb2_p75,error_signed_bb2_p80,error_absolute_bb2_p80,error_signed_bb2_p90,error_absolute_bb2_p90,error_signed_bb2_p95,error_absolute_bb2_p95,error_signed_bb2_p99,error_absolute_bb2_p99,error_signed_bb2_p99_9,error_absolute_bb2_p99_9,error_signed_lognormal_p1,error_absolute_lognormal_p1,error_signed_lognormal_p10,error_absolute_lognormal_p10,error_signed_lognormal_p20,error_absolute_lognormal_p20,error_signed_lognormal_p25,error_absolute_lognormal_p25,error_signed_lognormal_p30,error_absolute_lognormal_p30,error_signed_lognormal_p40,error_absolute_lognormal_p40,error_signed_lognormal_p50,error_absolute_lognormal_p50,error_signed_lognormal_p60,error_absolute_lognormal_p60,error_signed_lognormal_p70,error_absolute_lognormal_p70,error_signed_lognormal_p75,error_absolute_lognormal_p75,error_signed_lognormal_p80,error_absolute_lognormal_p80,error_signed_lognormal_p90,error_absolute_lognormal_p90,error_signed_lognormal_p95,error_absolute_lognormal_p95,error_signed_lognormal_p99,error_absolute_lognormal_p99,error_signed_lognormal_p99_9,error_absolute_lognormal_p99_9,row_mean_signed_pert,row_mean_absolute_pert,row_mean_signed_bb2,row_mean_absolute_bb2,row_mean_signed_lognormal,row_mean_absolute_lognormal,row_mean_signed_cross_method_p1,row_mean_absolute_cross_method_p1,row_mean_signed_cross_method_p10,row_mean_absolute_cross_method_p10,row_mean_signed_cross_method_p20,row_mean_absolute_cross_method_p20,row_mean_signed_cross_method_p25,row_mean_absolute_cross_method_p25,row_mean_signed_cross_method_p30,row_mean_absolute_cross_method_p30,row_mean_signed_cross_method_p40,row_mean_absolute_cross_method_p40,row_mean_signed_cross_method_p50,row_mean_absolute_cross_method_p50,row_mean_signed_cross_method_p60,row_mean_absolute_cross_method_p60,row_mean_signed_cross_method_p70,row_mean_absolute_cross_method_p70,row_mean_signed_cross_method_p75,row_mean_absolute_cross_method_p75,row_mean_signed_cross_method_p80,row_mean_absolute_cross_method_p80,row_mean_signed_cross_method_p90,row_mean_absolute_cross_method_p90,row_mean_signed_cross_method_p95,row_mean_absolute_cross_method_p95,row_mean_signed_cross_method_p99,row_mean_absolute_cross_method_p99,row_mean_signed_cross_method_p99_9,row_mean_absolute_cross_method_p99_9,aggregate_scope,error_type,method,percentile,value,n_contributing_rows
row,Set 1 SP_EV1,triangular,1000.0,20.8,31.2,26.0,26.0,1.024152766382481,26.0,0.8666666666666666,27.981073030072075,24.878892398564467,25.40486850446317,26.588046009555534,1.5749078407911508,31.200000000000003,24.76531180101081,25.463766889407943,25.979455820807704,1.2266445214527717,22.473691731468826,24.358751344090823,25.10806139439494,29.575749921139057,26.009310228046324,27.629802907771992,28.025049473141912,28.65530118810128,21.898654372928053,23.36501911420005,24.196618553550675,24.53813611381233,24.85411084552197,25.44104261385932,26.0,26.55895738614068,27.145889154478034,27.461863886187672,27.803381446449325,28.634980885799948,29.23174407464718,30.101345627071947,30.705460258975258,24.01892696992792,24.878892398564467,25.258762705886767,25.40486850446317,25.53669470184157,25.77582637325972,26.0,26.22417362674028,26.46330529815843,26.59513149553683,26.741237294113237,27.121107601435533,27.42797471741549,27.981073030072075,28.556478042265447,23.799242579239568,24.76531180101081,25.260037221724343,25.463766889407943,25.654641421832128,26.01936116349203,26.3849904967771,26.776233176609,27.2252158169323,27.488181375431115,27.79369036519074,28.66624593995081,29.468314889644645,31.200000000000003,33.55542886097446,23.18632329540628,24.905139232985476,25.32272773561027,25.644494295734123,26.3201981594697,26.66000040713462,26.815727935633756,27.039730334359767,29.09323842810164,0.069,0.519,0.444,0.032,30.0,0.0,0.0,0.021278699976392,-5.553570982654852,5.553570982654852,-4.079569662062515,4.079569662062515,-2.8448774078580756,2.8448774078580756,-2.269889624811248,2.269889624811248,-1.8505782433118494,1.8505782433118494,-0.7933542363073489,0.7933542363073489,-0.03579575146243135,0.03579575146243135,0.9071330892889803,0.9071330892889803,1.8225384093144343,1.8225384093144343,2.4095409682886353,2.4095409682886353,2.824181686158224,2.824181686158224,3.638020804503128,3.638020804503128,4.305771530079607,4.305771530079607,5.04634179022734,5.04634179022734,5.541568824859136,5.541568824859136,3.5909258398316215,3.5909258398316215,2.1353354575780616,2.1353354575780616,1.4198815336592685,1.4198815336592685,1.182118784106876,1.182118784106876,0.8449601814831654,0.8449601814831654,0.5121258232315462,0.5121258232315462,-0.03579575146243135,0.03579575146243135,-0.36483210402757194,0.36483210402757194,-0.7377910951702435,0.7377910951702435,-0.8226382689533092,0.8226382689533092,-1.1039053886836692,1.1039053886836692,-1.8411108759424724,1.8411108759424724,-2.1305038419241105,2.1305038419241105,-2.352891542138699,2.352891542138699,-1.8449660980942113,1.8449660980942113,2.6434518143492025,2.6434518143492025,1.6690529460107744,1.6690529460107744,1.424999014937541,1.424999014937541,1.41669836402586,1.41669836402586,1.3107343319697107,1.3107343319697107,1.4617830378517673,1.4617830378517673,1.444406889059566,1.444406889059566,1.732642795378133,1.732642795378133,2.1200877763168386,2.1200877763168386,2.507682959088263,2.507682959088263,2.788341531176096,2.788341531176096,3.7511777975342526,3.7511777975342526,5.149912109471567,5.149912109471567,8.880377125316603,8.880377125316603,15.337551520434097,15.337551520434097,0.6044974129500776,2.9281822007458533,-0.10327248976707853,1.3946521724191505,3.575926667528018,3.575926667528018,0.2269355571753239,3.9293162122785588,-0.09172708615789309,2.6279860218837836,1.0469129113251559e-06,1.8965859854849618,0.10964250777382929,1.6229022576479946,0.1017054233803422,1.3354242522549085,0.39351820825865486,0.9224210324635541,0.45760512871156783,0.5053327973281428,0.7583145935465138,1.0015359962315618,1.0682783634870099,1.5601390936005055,1.3648618861411963,1.9132873987767358,1.5028726095502167,2.2388095353393296,1.8493625753649694,3.0767698259932845,2.441726599209021,3.862062493825095,3.857942457801748,5.426536819227548,6.344718082399674,7.574695481129148,,,,,,
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,method_final,signed,pert,,0.6044974129500776,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,method_final,signed,bb2,,-0.10327248976707853,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,method_final,signed,lognormal,,3.575926667528018,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,method_final,absolute,pert,,2.9281822007458533,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,method_final,absolute,bb2,,1.3946521724191505,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,method_final,absolute,lognormal,,3.575926667528018,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentile_cross_method_final,signed,cross_method,p1,0.2269355571753239,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentile_cross_method_final,signed,cross_method,p10,-0.09172708615789309,1.0
aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,percentile_cross_method_final,signed,cross_method,p20,1.0469129113251559e-06,1.0
