cluster_id,comparison,method_a,method_b,n,mean_diff_mape,cohens_d,ci_95_low,ci_95_high
0,bb2_vs_pert,bb2,pert,5790,-9.92345053095109,-2.4231790938020357,-10.02808220985577,-9.819384481094131
0,bb2_vs_lognormal,bb2,lognormal,5790,-5.131590375908494,-1.9147038633028004,-5.199384947706937,-5.0636353551819875
0,lognormal_vs_pert,lognormal,pert,5790,-4.791860155042596,-3.1678593073952657,-4.83078082762428,-4.754096090136394
1,bb2_vs_pert,bb2,pert,2298,-13.146388258852719,-9.903844013372451,-13.200829503094562,-13.095376924104999
1,bb2_vs_lognormal,bb2,lognormal,2298,-7.402614871119202,-12.30746252596538,-7.426833714133892,-7.379332289953623
1,lognormal_vs_pert,lognormal,pert,2298,-5.743773387733516,-7.863010698339428,-5.7730745464551845,-5.715846935779209
2,bb2_vs_pert,bb2,pert,1338,-8.966946256503517,-2.216395033699103,-9.18977002990743,-8.748676529940607
2,bb2_vs_lognormal,bb2,lognormal,1338,-4.787329517462212,-1.8583662987688896,-4.93081250493214,-4.643526061388036
2,lognormal_vs_pert,lognormal,pert,1338,-4.179616739041306,-2.7234797783498195,-4.260808732326645,-4.095921652305704
3,bb2_vs_pert,bb2,pert,1899,-10.756148562447025,-2.8946281374902716,-10.917732052641952,-10.584472274662971
3,bb2_vs_lognormal,bb2,lognormal,1899,-5.449965594836822,-2.1270211578715967,-5.561796923586681,-5.331549511084838
3,lognormal_vs_pert,lognormal,pert,1899,-5.306182967610202,-4.0907336550130085,-5.362468931532427,-5.246801490426509
4,bb2_vs_pert,bb2,pert,975,-12.947671323185014,-8.941213916788374,-13.039286134867817,-12.861701756738587
4,bb2_vs_lognormal,bb2,lognormal,975,-7.331129677210756,-11.385162554916722,-7.372097329301403,-7.294022449099246
4,lognormal_vs_pert,lognormal,pert,975,-5.616541645974259,-6.961456494234588,-5.667021299680234,-5.568634106421193
