source_file,is_beta,is_lognormal,num_simulations,network_optimistic,network_pessimistic,network_most_likely,pert_critical,pert_sd,bb2_critical_mean,bb2_critical_sd,bb2_critical_p99,bb2_critical_p10,bb2_critical_p25,lognormal_critical_mean,lognormal_critical_sd,lognormal_critical_p99,lognormal_critical_p10,lognormal_critical_p25,sim_mean,sim_std,sim_min,sim_p10,sim_p25,sim_max,sim_p50,sim_p90,sim_p95,sim_p99,pert_p1,pert_p10,pert_p20,pert_p25,pert_p30,pert_p40,pert_p50,pert_p60,pert_p70,pert_p75,pert_p80,pert_p90,pert_p95,pert_p99,pert_p99_9,bb2_p1,bb2_p10,bb2_p20,bb2_p25,bb2_p30,bb2_p40,bb2_p50,bb2_p60,bb2_p70,bb2_p75,bb2_p80,bb2_p90,bb2_p95,bb2_p99,bb2_p99_9,lognormal_p1,lognormal_p10,lognormal_p20,lognormal_p25,lognormal_p30,lognormal_p40,lognormal_p50,lognormal_p60,lognormal_p70,lognormal_p75,lognormal_p80,lognormal_p90,lognormal_p95,lognormal_p99,lognormal_p99_9,sim_p1,sim_p20,sim_p30,sim_p40,sim_p60,sim_p70,sim_p75,sim_p80,sim_p99_9,SP,TF,AD,LA,simulation_runtime_seconds,distribution,mape_pert,mape_bb2,mape_lognormal,best_method,cluster_id
Set 1 SP_EV1,1,0,10000,13.0,52,26,28.16666667,3.840572874,28.16666667,3.25,35.9644216,24.02274344,25.88842624,28.18704302,5.019212621,43.49664688,22.54478903,24.60514683,28.25613649,3.741774395,18.22457065,23.52717012,25.57566204,43.03136097,28.08490213,33.31754269,34.76635931,37.32612403,15.04217845,18.96808005,21.51503446,22.61567266,23.66060514,25.66739747,27.65668777,29.7224815,31.97657996,33.22787086,34.61187479,38.13381121,40.81820808,45.05878528,48.39545712,21.12372748,24.02274344,25.36345876,25.88842624,26.36644045,27.24397877,28.07870859,28.92503863,29.84057967,30.35091353,30.92120943,32.42717308,33.66859292,35.9644216,38.43808561,19.81827386,22.54478903,23.99717055,24.60514683,25.17972083,26.29040513,27.41993379,28.64545914,30.07218854,30.91743727,31.90799906,34.78513214,37.48837905,43.49664688,52,20.46757837,25.03422848,26.1159507,27.15331859,29.04907161,30.10621277,30.72737124,31.40571463,40.50648874,0.069,0.519,0.444,0.032,0.2429134,beta,12.456496534228599,1.8551242841210263,5.685077983528372,bb2,0
Set 1 SP_EV10,1,0,10000,10.0,40,20,21.66666667,2.893959226,21.66666667,2.5,27.66493969,18.47903342,19.91417403,21.68234078,3.860932785,33.45895914,17.34214541,18.92703602,22.09807898,2.567845822,14.35115804,18.89030845,20.28578255,32.06584628,21.94080511,25.51597412,26.57808292,28.5318249,11.5709065,14.59083081,16.55002651,17.39667127,18.20046549,19.7441519,21.27437521,22.86344731,24.5973692,25.55990066,26.62451907,29.33370093,31.3986216,34.66060406,37.22727471,16.24902114,18.47903342,19.5103529,19.91417403,20.28187727,20.95690675,21.59900661,22.25002972,22.95429205,23.34685657,23.78554572,24.94397929,25.89891763,27.66493969,29.56775816,15.24482605,17.34214541,18.45936196,18.92703602,19.36901602,20.22338856,21.09225676,22.03496857,23.13245273,23.78264406,24.54461466,26.75779396,28.83721465,33.45895914,40,16.73348561,19.87665989,20.64228157,21.31855308,22.64851646,23.3521384,23.76833546,24.25341062,30.45022133,0.069,0.815,0.778,0.0,0.2885562,beta,13.818240472825755,2.1097458816400168,7.533428274753756,bb2,3
Set 1 SP_EV100,1,0,10000,10.0,40,20,21.66666667,3.535533906,21.66666667,2.5,27.66493969,18.47903342,19.91417403,21.68234078,3.860932785,33.45895914,17.34214541,18.92703602,22.59911824,3.237506312,13.36870733,18.46861162,20.24765541,34.41075414,22.43117778,26.93728006,28.1911073,30.49737081,11.5709065,14.59083081,16.55002651,17.39667127,18.20046549,19.7441519,21.27437521,22.86344731,24.5973692,25.55990066,26.62451907,29.33370093,31.3986216,34.66060406,37.22727471,16.24902114,18.47903342,19.5103529,19.91417403,20.28187727,20.95690675,21.59900661,22.25002972,22.95429205,23.34685657,23.78554572,24.94397929,25.89891763,27.66493969,29.56775816,15.24482605,17.34214541,18.45936196,18.92703602,19.36901602,20.22338856,21.09225676,22.03496857,23.13245273,23.78264406,24.54461466,26.75779396,28.83721465,33.45895914,40,16.028443,19.78148204,20.71521271,21.60495314,23.3337066,24.27834824,24.77907288,25.366697,32.73917137,0.069,0.667,0.667,0.072,0.3045522,beta,10.947040247869866,4.657839223208041,6.363417454208939,bb2,3
Set 1 SP_EV101,1,0,10000,14.0,56,28,30.33333333,3.724916106,30.33333333,3.5,38.73091557,25.87064678,27.87984364,30.3552771,5.405305899,46.84254279,24.27900357,26.49785043,32.74005639,2.999944983,21.99649682,28.97769383,30.63209947,45.1804874,32.62812112,36.66666813,37.89030387,40.20043483,16.1992691,20.42716313,23.17003711,24.35533978,25.48065169,27.64181266,29.78412529,32.00882623,34.43631688,35.78386093,37.2743267,41.0671813,43.95807023,48.52484569,52.11818459,22.74862959,25.87064678,27.31449405,27.87984364,28.39462818,29.33966945,30.23860925,31.1500416,32.13600887,32.68559919,33.29976401,34.92157101,36.25848468,38.73091557,41.39486142,21.34275647,24.27900357,25.84310674,26.49785043,27.11662243,28.31274399,29.52915946,30.84895599,32.38543382,33.29570168,34.36246053,37.46091154,40.37210052,46.84254279,56,26.50406156,30.11586407,31.07989533,31.85693199,33.41415826,34.26223858,34.69574589,35.22294391,42.65512311,0.172,0.4,0.45,0.104,0.9110759,beta,15.765802460810132,7.130323626291941,11.526980625041313,bb2,0
Set 1 SP_EV102,1,0,10000,19.5,78,39,42.25,4.235268587,42.25,4.875,53.9466324,36.03411516,38.83263936,42.28056453,7.528818931,65.24497032,33.81718355,36.90772025,42.77054678,4.087263889,30.3529436,37.56705048,39.94069986,60.07718417,42.54773485,48.16809967,49.76934008,52.46758338,22.56326768,28.45212008,32.27255169,33.92350899,35.49090771,38.50109621,41.48503166,44.58372225,47.96486994,49.84180629,51.91781219,57.20071681,61.22731211,67.58817792,72.59318568,31.68559122,36.03411516,38.04518815,38.83263936,39.54966068,40.86596816,42.11806288,43.38755795,44.7608695,45.5263703,46.38181415,48.64075962,50.50288938,53.9466324,57.65712841,29.7274108,33.81718355,35.99575582,36.90772025,37.76958124,39.4356077,41.12990068,42.96818871,45.10828282,46.37615591,47.86199859,52.17769822,56.23256858,65.24497032,78,33.98153544,39.26392931,40.50714212,41.57574055,43.67294153,44.88147327,45.53541552,46.27745947,55.96144078,0.172,0.483,0.45,0.127,0.8833197,beta,16.261780665019888,2.084517807715902,9.739379441406308,bb2,0
Set 1 SP_EV103,1,0,10000,17.5,70,35,37.91666667,4.279310692,37.91666667,4.375,48.41364446,32.33830848,34.84980455,37.94409637,6.756632374,58.55317849,30.34875447,33.12231304,38.74740111,3.808785811,27.44162142,33.95512329,36.07852169,54.29205537,38.55461282,43.81622094,45.36531349,48.27083096,20.24908638,25.53395392,28.96254639,30.44417473,31.85081461,34.55226583,37.23015662,40.01103279,43.0453961,44.72982616,46.59290838,51.33397663,54.94758779,60.65605711,65.14773074,28.43578699,32.33830848,34.14311757,34.84980455,35.49328522,36.67458681,37.79826156,38.93755201,40.17001109,40.85699899,41.62470501,43.65196376,45.32310585,48.41364446,51.74357678,26.67844559,30.34875447,32.30388343,33.12231304,33.89577804,35.39092998,36.91144933,38.56119499,40.48179227,41.6196271,42.95307566,46.82613943,50.46512565,58.55317849,70,30.93137788,35.4382746,36.60031503,37.61831883,39.52744265,40.61156359,41.23623428,41.92132588,51.62003284,0.172,0.467,0.3,0.055,0.3752599,beta,15.651006180841447,2.1730136424556954,9.34366633452387,bb2,0
Set 1 SP_EV104,1,0,10000,13.5,54,27,29.25,3.010398645,29.25,3.375,37.34766859,24.94669511,26.88413494,29.27116006,5.21225926,45.16959484,23.4118963,25.55149863,29.32718428,2.99034745,20.21733799,25.49863926,27.20683207,41.23819016,29.20250331,33.27159954,34.40831242,36.46162078,15.62072378,19.69762159,22.34253578,23.48550622,24.57062841,26.65460507,28.72040653,30.86565386,33.20644842,34.50586589,35.94310075,39.60049625,42.38813916,46.79181548,50.25682085,21.93617853,24.94669511,26.33897641,26.88413494,27.38053431,28.29182411,29.15865892,30.03754012,30.98829427,31.51825636,32.11048672,33.67437205,34.9635388,37.34766859,39.91647351,20.58051517,23.4118963,24.92013865,25.55149863,26.14817163,27.30157456,28.47454662,29.74720757,31.22881118,32.10656948,33.13522979,36.12302184,38.93023978,45.16959484,54,22.94799905,26.70666347,27.64957535,28.46545095,30.0356874,30.88103207,31.34618974,31.9020483,38.61211074,0.172,0.792,0.6,0.031,0.3290527,beta,15.839399651468096,1.4038652376590472,9.140726308861808,bb2,3
Set 1 SP_EV105,1,0,10000,22.0,88,44,47.66666667,5.0,47.66666667,5.5,60.86286733,40.65387352,43.81118287,47.70114972,8.494052128,73.60971011,38.1527199,41.63947925,48.66803163,4.609684028,31.90249275,42.82627742,45.43405199,68.08798228,48.56896464,54.67245098,56.35913227,59.80734096,25.4559943,32.09982778,36.41005831,38.2726768,40.04102408,43.43713418,46.80362546,50.29958407,54.11421223,56.23178146,58.57394196,64.53414204,69.07696751,76.25332893,81.90000436,35.7478465,40.65387352,42.92277637,43.81118287,44.62012999,46.10519484,47.51781453,48.95006538,50.49944251,51.36308444,52.32820058,54.87675445,56.97761879,60.86286733,65.04906795,33.53861731,38.1527199,40.61059631,41.63947925,42.61183525,44.49145484,46.40296487,48.47693085,50.891396,52.32181692,53.99815226,58.86714671,63.44187224,73.60971011,88,38.787523,44.68312483,46.08714902,47.42205017,49.7796018,51.0257693,51.77239832,52.53116334,63.24326679,0.172,0.342,0.2,0.071,0.7607817,beta,16.24443513865453,2.567421465777824,9.952564365282338,bb2,0
Set 1 SP_EV106,1,0,10000,16.5,66,33,35.75,3.832427429,35.75,4.125,45.64715049,30.49040514,32.85838715,35.77586229,6.370539096,55.20728258,28.61453993,31.22960944,36.85196556,3.401255782,27.70642217,32.58234733,34.45350883,50.28498152,36.67746344,41.34394489,42.72347596,45.38577155,19.09199573,24.07487084,27.30754373,28.7045076,30.03076806,32.57785064,35.1027191,37.72468806,40.58565918,42.17383609,43.93045647,48.40060653,51.80772563,57.1899967,61.42500327,26.81088487,30.49040514,32.19208228,32.85838715,33.46509749,34.57889613,35.6383609,36.71254903,37.87458189,38.52231333,39.24615043,41.15756583,42.73321409,45.64715049,48.78680096,25.15396298,28.61453993,30.45794723,31.22960944,31.95887644,33.36859113,34.80222365,36.35769814,38.168547,39.24136269,40.49861419,44.15036003,47.58140418,55.20728258,66,29.8617153,33.89676784,34.94811795,35.82777909,37.56629737,38.52376839,39.02611105,39.72532511,48.55067446,0.172,0.5,0.45,0.113,0.6783731,beta,16.06789159065535,2.989933431655348,10.023455667769959,bb2,0
Set 1 SP_EV107,1,0,10000,18.5,74,37,40.08333333,4.13067791,40.08333333,4.625,51.18013843,34.18621182,36.84122196,40.11233045,7.142725653,61.89907441,32.08296901,35.01501664,40.76210355,3.731068331,28.24254235,36.01618112,38.16778618,56.3646517,40.61489318,45.62007084,47.14709211,50.09664957,21.40617703,26.993037,30.61754904,32.18384186,33.67086116,36.52668102,39.35759414,42.29737752,45.50513302,47.28581622,49.25536028,54.26734672,58.08744995,64.12211751,68.87045821,30.0606891,34.18621182,36.09415286,36.84122196,37.52147295,38.77027748,39.95816222,41.16255498,42.4654403,43.19168465,44.00325958,46.14636169,47.91299762,51.18013843,54.70035259,28.20292819,32.08296901,34.14981963,35.01501664,35.83267964,37.41326884,39.020675,40.76469185,42.79503754,43.9978915,45.40753713,49.50191882,53.34884711,61.89907441,74,32.80303854,37.54281945,38.70594414,39.68568315,41.5552648,42.62353213,43.1973818,43.85940556,52.93769551,0.172,0.325,0.4,0.063,1.0789216,beta,16.57016527290325,2.5124565710552895,10.13425209814095,bb2,0
